_CurrencyCode|text|HoldingDetail_Id|LocalMarketValue_Id|DataEffectiveDT|DataObjectInstanceVersionKey
NZD||599|1|2014-06-10|62903
USD||600|2|2014-06-10|62903
AUD||601|3|2014-06-10|62903
EUR||602|4|2014-06-10|62903
CAD||603|5|2014-06-10|62903
NOK||604|6|2014-06-10|62903
GBP||618|7|2014-06-10|62903
EUR||620|8|2014-06-10|62903
USD||621|9|2014-06-10|62903
AUD||624|10|2014-06-10|62903
EUR||625|11|2014-06-10|62903
CAD||627|12|2014-06-10|62903
USD||629|13|2014-06-10|62903
USD||630|14|2014-06-10|62903
EUR||631|15|2014-06-10|62903
SEK||632|16|2014-06-10|62903
EUR||633|17|2014-06-10|62903
JPY||634|18|2014-06-10|62903
EUR||635|19|2014-06-10|62903
JPY||637|20|2014-06-10|62903
CAD||639|21|2014-06-10|62903
USD||641|22|2014-06-10|62903
MXN||642|23|2014-06-10|62903
USD||643|24|2014-06-10|62903
EUR||644|25|2014-06-10|62903
USD||646|26|2014-06-10|62903
JPY||647|27|2014-06-10|62903
NZD||648|28|2014-06-10|62903
NOK||649|29|2014-06-10|62903
USD||650|30|2014-06-10|62903
EUR||652|31|2014-06-10|62903
EUR||655|32|2014-06-10|62903
EUR||656|33|2014-06-10|62903
USD||657|34|2014-06-10|62903
USD||658|35|2014-06-10|62903
USD||659|36|2014-06-10|62903
EUR||661|37|2014-06-10|62903
USD||662|38|2014-06-10|62903
USD||663|39|2014-06-10|62903
USD||664|40|2014-06-10|62903
EUR||665|41|2014-06-10|62903
PLN||666|42|2014-06-10|62903
USD||667|43|2014-06-10|62903
USD||668|44|2014-06-10|62903
EUR||669|45|2014-06-10|62903
EUR||670|46|2014-06-10|62903
USD||672|47|2014-06-10|62903
USD||673|48|2014-06-10|62903
USD||674|49|2014-06-10|62903
USD||675|50|2014-06-10|62903
JPY||676|51|2014-06-10|62903
USD||677|52|2014-06-10|62903
USD||678|53|2014-06-10|62903
USD||679|54|2014-06-10|62903
USD||680|55|2014-06-10|62903
EUR||681|56|2014-06-10|62903
USD||682|57|2014-06-10|62903
EUR||683|58|2014-06-10|62903
USD||684|59|2014-06-10|62903
USD||685|60|2014-06-10|62903
USD||686|61|2014-06-10|62903
USD||687|62|2014-06-10|62903
USD||688|63|2014-06-10|62903
USD||689|64|2014-06-10|62903
USD||690|65|2014-06-10|62903
EUR||691|66|2014-06-10|62903
EUR||692|67|2014-06-10|62903
EUR||693|68|2014-06-10|62903
EUR||694|69|2014-06-10|62903
USD||695|70|2014-06-10|62903
USD||696|71|2014-06-10|62903
EUR||697|72|2014-06-10|62903
USD||698|73|2014-06-10|62903
USD||699|74|2014-06-10|62903
EUR||700|75|2014-06-10|62903
USD||701|76|2014-06-10|62903
EUR||702|77|2014-06-10|62903
EUR||703|78|2014-06-10|62903
USD||704|79|2014-06-10|62903
EUR||705|80|2014-06-10|62903
EUR||706|81|2014-06-10|62903
USD||707|82|2014-06-10|62903
USD||708|83|2014-06-10|62903
EUR||709|84|2014-06-10|62903
USD||710|85|2014-06-10|62903
USD||711|86|2014-06-10|62903
USD||712|87|2014-06-10|62903
EUR||713|88|2014-06-10|62903
EUR||714|89|2014-06-10|62903
USD||715|90|2014-06-10|62903
USD||716|91|2014-06-10|62903
USD||718|92|2014-06-10|62903
USD||719|93|2014-06-10|62903
USD||720|94|2014-06-10|62903
USD||721|95|2014-06-10|62903
USD||722|96|2014-06-10|62903
USD||723|97|2014-06-10|62903
USD||724|98|2014-06-10|62903
EUR||725|99|2014-06-10|62903
USD||726|100|2014-06-10|62903
USD||727|101|2014-06-10|62903
USD||728|102|2014-06-10|62903
USD||729|103|2014-06-10|62903
USD||730|104|2014-06-10|62903
USD||731|105|2014-06-10|62903
USD||732|106|2014-06-10|62903
USD||733|107|2014-06-10|62903
USD||734|108|2014-06-10|62903
USD||735|109|2014-06-10|62903
USD||736|110|2014-06-10|62903
USD||737|111|2014-06-10|62903
USD||738|112|2014-06-10|62903
USD||739|113|2014-06-10|62903
USD||740|114|2014-06-10|62903
USD||741|115|2014-06-10|62903
USD||742|116|2014-06-10|62903
USD||743|117|2014-06-10|62903
EUR||745|118|2014-06-10|62903
EUR||746|119|2014-06-10|62903
USD||747|120|2014-06-10|62903
USD||748|121|2014-06-10|62903
MYR||749|122|2014-06-10|62903
USD||750|123|2014-06-10|62903
USD||751|124|2014-06-10|62903
USD||752|125|2014-06-10|62903
USD||754|126|2014-06-10|62903
USD||755|127|2014-06-10|62903
USD||756|128|2014-06-10|62903
USD||757|129|2014-06-10|62903
USD||758|130|2014-06-10|62903
USD||759|131|2014-06-10|62903
USD||760|132|2014-06-10|62903
USD||761|133|2014-06-10|62903
USD||762|134|2014-06-10|62903
USD||763|135|2014-06-10|62903
USD||764|136|2014-06-10|62903
USD||765|137|2014-06-10|62903
USD||766|138|2014-06-10|62903
USD||767|139|2014-06-10|62903
USD||768|140|2014-06-10|62903
USD||769|141|2014-06-10|62903
USD||770|142|2014-06-10|62903
USD||771|143|2014-06-10|62903
USD||772|144|2014-06-10|62903
EUR||773|145|2014-06-10|62903
USD||774|146|2014-06-10|62903
USD||775|147|2014-06-10|62903
USD||776|148|2014-06-10|62903
USD||777|149|2014-06-10|62903
USD||778|150|2014-06-10|62903
USD||779|151|2014-06-10|62903
USD||780|152|2014-06-10|62903
USD||781|153|2014-06-10|62903
USD||782|154|2014-06-10|62903
USD||783|155|2014-06-10|62903
USD||784|156|2014-06-10|62903
USD||785|157|2014-06-10|62903
USD||787|158|2014-06-10|62903
USD||788|159|2014-06-10|62903
USD||789|160|2014-06-10|62903
USD||790|161|2014-06-10|62903
USD||791|162|2014-06-10|62903
EUR||792|163|2014-06-10|62903
ZAR||3461|164|2014-06-10|62903
ZAR||3462|165|2014-06-10|62903
ZAR||3463|166|2014-06-10|62903
ZAR||3464|167|2014-06-10|62903
ZAR||3465|168|2014-06-10|62903
ZAR||3466|169|2014-06-10|62903
ZAR||3467|170|2014-06-10|62903
ZAR||3468|171|2014-06-10|62903
ZAR||3469|172|2014-06-10|62903
ZAR||3470|173|2014-06-10|62903
ZAR||3472|174|2014-06-10|62903
ZAR||3473|175|2014-06-10|62903
ZAR||3474|176|2014-06-10|62903
ZAR||3475|177|2014-06-10|62903
ZAR||3476|178|2014-06-10|62903
JPY||4093|179|2014-06-10|62903
JPY||4094|180|2014-06-10|62903
JPY||4095|181|2014-06-10|62903
JPY||4096|182|2014-06-10|62903
JPY||4097|183|2014-06-10|62903
JPY||4098|184|2014-06-10|62903
USD||4099|185|2014-06-10|62903
USD||4100|186|2014-06-10|62903
JPY||4101|187|2014-06-10|62903
USD||4102|188|2014-06-10|62903
USD||4546|189|2014-06-10|62903
USD||4547|190|2014-06-10|62903
USD||4548|191|2014-06-10|62903
USD||4549|192|2014-06-10|62903
USD||4550|193|2014-06-10|62903
USD||4551|194|2014-06-10|62903
USD||4552|195|2014-06-10|62903
USD||4553|196|2014-06-10|62903
USD||4554|197|2014-06-10|62903
USD||4555|198|2014-06-10|62903
USD||4556|199|2014-06-10|62903
USD||4557|200|2014-06-10|62903
USD||4558|201|2014-06-10|62903
USD||4559|202|2014-06-10|62903
USD||4560|203|2014-06-10|62903
USD||4561|204|2014-06-10|62903
USD||4562|205|2014-06-10|62903
USD||4563|206|2014-06-10|62903
USD||4564|207|2014-06-10|62903
USD||4565|208|2014-06-10|62903
USD||4566|209|2014-06-10|62903
USD||4567|210|2014-06-10|62903
USD||4568|211|2014-06-10|62903
USD||4569|212|2014-06-10|62903
USD||4570|213|2014-06-10|62903
USD||4571|214|2014-06-10|62903
USD||4572|215|2014-06-10|62903
USD||4573|216|2014-06-10|62903
USD||4574|217|2014-06-10|62903
USD||4575|218|2014-06-10|62903
USD||4576|219|2014-06-10|62903
USD||4577|220|2014-06-10|62903
USD||4578|221|2014-06-10|62903
USD||4579|222|2014-06-10|62903
USD||4581|223|2014-06-10|62903
USD||4582|224|2014-06-10|62903
USD||4583|225|2014-06-10|62903
USD||4584|226|2014-06-10|62903
USD||4585|227|2014-06-10|62903
USD||4586|228|2014-06-10|62903
USD||4587|229|2014-06-10|62903
USD||4588|230|2014-06-10|62903
USD||4589|231|2014-06-10|62903
USD||4590|232|2014-06-10|62903
USD||4591|233|2014-06-10|62903
USD||4592|234|2014-06-10|62903
USD||4593|235|2014-06-10|62903
USD||4594|236|2014-06-10|62903
USD||4595|237|2014-06-10|62903
USD||4596|238|2014-06-10|62903
USD||4597|239|2014-06-10|62903
USD||4598|240|2014-06-10|62903
USD||4599|241|2014-06-10|62903
USD||4600|242|2014-06-10|62903
USD||4601|243|2014-06-10|62903
USD||4602|244|2014-06-10|62903
USD||4603|245|2014-06-10|62903
USD||4604|246|2014-06-10|62903
USD||4605|247|2014-06-10|62903
USD||4606|248|2014-06-10|62903
USD||4607|249|2014-06-10|62903
USD||4608|250|2014-06-10|62903
USD||4609|251|2014-06-10|62903
USD||4611|252|2014-06-10|62903
USD||4612|253|2014-06-10|62903
USD||13775|254|2014-06-10|62903
USD||13776|255|2014-06-10|62903
KRW||13850|256|2014-06-10|62903
KRW||13851|257|2014-06-10|62903
KRW||13852|258|2014-06-10|62903
KRW||13854|259|2014-06-10|62903
JPY||14004|260|2014-06-10|62903
USD||14005|261|2014-06-10|62903
USD||14006|262|2014-06-10|62903
USD||14007|263|2014-06-10|62903
JPY||14008|264|2014-06-10|62903
JPY||14009|265|2014-06-10|62903
JPY||14010|266|2014-06-10|62903
JPY||14011|267|2014-06-10|62903
JPY||14012|268|2014-06-10|62903
JPY||14013|269|2014-06-10|62903
JPY||14014|270|2014-06-10|62903
JPY||14015|271|2014-06-10|62903
JPY||14016|272|2014-06-10|62903
JPY||14017|273|2014-06-10|62903
JPY||14018|274|2014-06-10|62903
JPY||14019|275|2014-06-10|62903
JPY||14020|276|2014-06-10|62903
JPY||14021|277|2014-06-10|62903
JPY||14022|278|2014-06-10|62903
JPY||14023|279|2014-06-10|62903
JPY||15809|280|2014-06-10|62903
JPY||15810|281|2014-06-10|62903
JPY||15811|282|2014-06-10|62903
USD||15812|283|2014-06-10|62903
JPY||15813|284|2014-06-10|62903
JPY||15814|285|2014-06-10|62903
USD||15815|286|2014-06-10|62903
JPY||15816|287|2014-06-10|62903
USD||15817|288|2014-06-10|62903
JPY||15819|289|2014-06-10|62903
USD||18753|290|2014-06-10|62903
USD||18754|291|2014-06-10|62903
JPY||19590|292|2014-06-10|62903
JPY||19591|293|2014-06-10|62903
USD||19592|294|2014-06-10|62903
USD||19593|295|2014-06-10|62903
USD||19594|296|2014-06-10|62903
USD||19595|297|2014-06-10|62903
USD||19596|298|2014-06-10|62903
USD||19597|299|2014-06-10|62903
USD||19598|300|2014-06-10|62903
USD||19599|301|2014-06-10|62903
USD||19600|302|2014-06-10|62903
USD||19601|303|2014-06-10|62903
USD||19602|304|2014-06-10|62903
USD||19603|305|2014-06-10|62903
USD||19604|306|2014-06-10|62903
USD||19605|307|2014-06-10|62903
USD||19606|308|2014-06-10|62903
USD||19607|309|2014-06-10|62903
USD||19608|310|2014-06-10|62903
USD||19609|311|2014-06-10|62903
USD||19610|312|2014-06-10|62903
USD||19611|313|2014-06-10|62903
USD||19612|314|2014-06-10|62903
USD||19613|315|2014-06-10|62903
USD||19614|316|2014-06-10|62903
USD||19615|317|2014-06-10|62903
USD||19616|318|2014-06-10|62903
USD||19617|319|2014-06-10|62903
USD||19618|320|2014-06-10|62903
USD||19619|321|2014-06-10|62903
USD||19620|322|2014-06-10|62903
USD||19621|323|2014-06-10|62903
USD||19622|324|2014-06-10|62903
USD||19623|325|2014-06-10|62903
USD||19624|326|2014-06-10|62903
USD||19625|327|2014-06-10|62903
USD||19626|328|2014-06-10|62903
USD||19627|329|2014-06-10|62903
USD||19628|330|2014-06-10|62903
USD||19629|331|2014-06-10|62903
USD||19630|332|2014-06-10|62903
USD||19631|333|2014-06-10|62903
USD||19632|334|2014-06-10|62903
USD||19633|335|2014-06-10|62903
USD||19634|336|2014-06-10|62903
USD||19635|337|2014-06-10|62903
USD||19636|338|2014-06-10|62903
USD||19637|339|2014-06-10|62903
USD||19638|340|2014-06-10|62903
USD||19639|341|2014-06-10|62903
USD||19640|342|2014-06-10|62903
USD||19641|343|2014-06-10|62903
USD||19642|344|2014-06-10|62903
USD||19643|345|2014-06-10|62903
USD||19644|346|2014-06-10|62903
USD||19645|347|2014-06-10|62903
USD||19646|348|2014-06-10|62903
USD||19647|349|2014-06-10|62903
USD||19648|350|2014-06-10|62903
USD||19649|351|2014-06-10|62903
USD||19650|352|2014-06-10|62903
USD||19651|353|2014-06-10|62903
USD||19652|354|2014-06-10|62903
USD||19653|355|2014-06-10|62903
USD||19654|356|2014-06-10|62903
USD||19655|357|2014-06-10|62903
USD||19656|358|2014-06-10|62903
USD||19657|359|2014-06-10|62903
USD||19658|360|2014-06-10|62903
USD||19659|361|2014-06-10|62903
USD||19660|362|2014-06-10|62903
USD||19661|363|2014-06-10|62903
USD||19662|364|2014-06-10|62903
USD||19663|365|2014-06-10|62903
USD||19664|366|2014-06-10|62903
USD||19665|367|2014-06-10|62903
USD||19666|368|2014-06-10|62903
USD||19667|369|2014-06-10|62903
USD||19668|370|2014-06-10|62903
USD||19669|371|2014-06-10|62903
USD||19670|372|2014-06-10|62903
USD||19671|373|2014-06-10|62903
USD||19672|374|2014-06-10|62903
USD||19673|375|2014-06-10|62903
USD||19674|376|2014-06-10|62903
USD||19675|377|2014-06-10|62903
USD||19676|378|2014-06-10|62903
USD||19677|379|2014-06-10|62903
USD||19678|380|2014-06-10|62903
USD||19679|381|2014-06-10|62903
USD||19680|382|2014-06-10|62903
USD||19681|383|2014-06-10|62903
USD||19682|384|2014-06-10|62903
USD||19683|385|2014-06-10|62903
USD||19684|386|2014-06-10|62903
USD||19685|387|2014-06-10|62903
USD||19686|388|2014-06-10|62903
USD||19687|389|2014-06-10|62903
USD||19688|390|2014-06-10|62903
USD||19689|391|2014-06-10|62903
USD||19690|392|2014-06-10|62903
USD||19691|393|2014-06-10|62903
USD||19692|394|2014-06-10|62903
USD||19693|395|2014-06-10|62903
USD||19694|396|2014-06-10|62903
USD||19695|397|2014-06-10|62903
USD||19696|398|2014-06-10|62903
USD||19697|399|2014-06-10|62903
USD||19698|400|2014-06-10|62903
USD||19699|401|2014-06-10|62903
USD||19700|402|2014-06-10|62903
USD||19701|403|2014-06-10|62903
USD||19702|404|2014-06-10|62903
USD||19703|405|2014-06-10|62903
USD||19704|406|2014-06-10|62903
USD||19705|407|2014-06-10|62903
USD||19706|408|2014-06-10|62903
USD||19707|409|2014-06-10|62903
USD||19708|410|2014-06-10|62903
USD||19709|411|2014-06-10|62903
USD||19710|412|2014-06-10|62903
USD||19711|413|2014-06-10|62903
USD||19712|414|2014-06-10|62903
USD||19713|415|2014-06-10|62903
USD||19714|416|2014-06-10|62903
USD||19715|417|2014-06-10|62903
USD||19716|418|2014-06-10|62903
USD||19717|419|2014-06-10|62903
USD||19718|420|2014-06-10|62903
USD||19719|421|2014-06-10|62903
USD||19720|422|2014-06-10|62903
USD||19721|423|2014-06-10|62903
USD||19722|424|2014-06-10|62903
USD||19723|425|2014-06-10|62903
USD||19724|426|2014-06-10|62903
USD||19725|427|2014-06-10|62903
USD||19726|428|2014-06-10|62903
USD||19727|429|2014-06-10|62903
USD||19728|430|2014-06-10|62903
USD||19729|431|2014-06-10|62903
USD||19730|432|2014-06-10|62903
USD||19731|433|2014-06-10|62903
USD||19732|434|2014-06-10|62903
USD||19733|435|2014-06-10|62903
USD||19734|436|2014-06-10|62903
USD||19735|437|2014-06-10|62903
USD||19736|438|2014-06-10|62903
USD||19737|439|2014-06-10|62903
USD||19738|440|2014-06-10|62903
USD||19739|441|2014-06-10|62903
USD||19740|442|2014-06-10|62903
USD||19741|443|2014-06-10|62903
USD||19742|444|2014-06-10|62903
USD||19743|445|2014-06-10|62903
USD||19744|446|2014-06-10|62903
USD||19745|447|2014-06-10|62903
USD||19746|448|2014-06-10|62903
USD||19747|449|2014-06-10|62903
USD||19748|450|2014-06-10|62903
USD||19749|451|2014-06-10|62903
USD||19750|452|2014-06-10|62903
USD||19751|453|2014-06-10|62903
USD||19752|454|2014-06-10|62903
USD||19753|455|2014-06-10|62903
USD||19754|456|2014-06-10|62903
USD||19755|457|2014-06-10|62903
USD||19756|458|2014-06-10|62903
USD||19757|459|2014-06-10|62903
USD||19758|460|2014-06-10|62903
USD||19759|461|2014-06-10|62903
USD||19760|462|2014-06-10|62903
USD||19761|463|2014-06-10|62903
USD||19762|464|2014-06-10|62903
USD||19763|465|2014-06-10|62903
USD||19764|466|2014-06-10|62903
USD||19765|467|2014-06-10|62903
USD||19766|468|2014-06-10|62903
USD||19767|469|2014-06-10|62903
USD||19768|470|2014-06-10|62903
USD||19769|471|2014-06-10|62903
USD||19770|472|2014-06-10|62903
USD||19771|473|2014-06-10|62903
USD||19772|474|2014-06-10|62903
USD||19773|475|2014-06-10|62903
USD||19774|476|2014-06-10|62903
USD||19775|477|2014-06-10|62903
USD||19776|478|2014-06-10|62903
USD||19777|479|2014-06-10|62903
USD||19778|480|2014-06-10|62903
USD||19779|481|2014-06-10|62903
USD||19780|482|2014-06-10|62903
USD||19781|483|2014-06-10|62903
USD||19782|484|2014-06-10|62903
USD||19783|485|2014-06-10|62903
USD||19784|486|2014-06-10|62903
USD||19785|487|2014-06-10|62903
USD||19786|488|2014-06-10|62903
USD||19787|489|2014-06-10|62903
USD||19788|490|2014-06-10|62903
USD||19789|491|2014-06-10|62903
USD||19790|492|2014-06-10|62903
USD||19791|493|2014-06-10|62903
USD||19792|494|2014-06-10|62903
USD||19793|495|2014-06-10|62903
USD||19794|496|2014-06-10|62903
USD||19795|497|2014-06-10|62903
USD||19796|498|2014-06-10|62903
USD||19797|499|2014-06-10|62903
USD||19798|500|2014-06-10|62903
USD||19799|501|2014-06-10|62903
USD||19800|502|2014-06-10|62903
USD||19801|503|2014-06-10|62903
USD||19802|504|2014-06-10|62903
USD||19803|505|2014-06-10|62903
USD||19804|506|2014-06-10|62903
USD||19805|507|2014-06-10|62903
USD||19806|508|2014-06-10|62903
USD||19807|509|2014-06-10|62903
USD||19808|510|2014-06-10|62903
USD||19809|511|2014-06-10|62903
USD||19810|512|2014-06-10|62903
USD||19811|513|2014-06-10|62903
USD||19812|514|2014-06-10|62903
USD||19813|515|2014-06-10|62903
USD||19814|516|2014-06-10|62903
USD||19815|517|2014-06-10|62903
USD||19816|518|2014-06-10|62903
USD||19817|519|2014-06-10|62903
USD||19818|520|2014-06-10|62903
USD||19819|521|2014-06-10|62903
USD||19820|522|2014-06-10|62903
USD||19821|523|2014-06-10|62903
USD||19822|524|2014-06-10|62903
USD||19823|525|2014-06-10|62903
USD||19824|526|2014-06-10|62903
USD||19825|527|2014-06-10|62903
USD||19826|528|2014-06-10|62903
USD||19827|529|2014-06-10|62903
USD||19828|530|2014-06-10|62903
USD||19829|531|2014-06-10|62903
USD||19830|532|2014-06-10|62903
USD||19831|533|2014-06-10|62903
USD||19832|534|2014-06-10|62903
USD||19833|535|2014-06-10|62903
USD||19834|536|2014-06-10|62903
USD||19835|537|2014-06-10|62903
USD||19836|538|2014-06-10|62903
USD||19837|539|2014-06-10|62903
USD||19838|540|2014-06-10|62903
USD||19839|541|2014-06-10|62903
USD||19840|542|2014-06-10|62903
USD||19841|543|2014-06-10|62903
USD||19842|544|2014-06-10|62903
USD||19843|545|2014-06-10|62903
USD||19844|546|2014-06-10|62903
USD||19845|547|2014-06-10|62903
USD||19846|548|2014-06-10|62903
USD||19847|549|2014-06-10|62903
USD||19848|550|2014-06-10|62903
USD||19849|551|2014-06-10|62903
USD||19850|552|2014-06-10|62903
USD||19851|553|2014-06-10|62903
USD||19852|554|2014-06-10|62903
USD||19853|555|2014-06-10|62903
USD||19854|556|2014-06-10|62903
USD||19855|557|2014-06-10|62903
USD||19856|558|2014-06-10|62903
USD||19857|559|2014-06-10|62903
USD||19858|560|2014-06-10|62903
USD||19859|561|2014-06-10|62903
USD||19860|562|2014-06-10|62903
USD||19861|563|2014-06-10|62903
USD||19862|564|2014-06-10|62903
USD||19863|565|2014-06-10|62903
USD||19864|566|2014-06-10|62903
USD||19865|567|2014-06-10|62903
USD||19866|568|2014-06-10|62903
USD||19867|569|2014-06-10|62903
USD||19868|570|2014-06-10|62903
USD||19869|571|2014-06-10|62903
USD||19870|572|2014-06-10|62903
USD||19871|573|2014-06-10|62903
USD||19872|574|2014-06-10|62903
USD||19873|575|2014-06-10|62903
USD||19874|576|2014-06-10|62903
USD||19875|577|2014-06-10|62903
USD||19876|578|2014-06-10|62903
USD||19877|579|2014-06-10|62903
USD||19878|580|2014-06-10|62903
USD||19879|581|2014-06-10|62903
USD||19880|582|2014-06-10|62903
USD||19881|583|2014-06-10|62903
USD||19882|584|2014-06-10|62903
USD||19883|585|2014-06-10|62903
USD||19884|586|2014-06-10|62903
USD||19885|587|2014-06-10|62903
USD||19886|588|2014-06-10|62903
USD||19887|589|2014-06-10|62903
USD||19888|590|2014-06-10|62903
USD||19889|591|2014-06-10|62903
USD||19890|592|2014-06-10|62903
USD||19891|593|2014-06-10|62903
USD||19892|594|2014-06-10|62903
USD||19893|595|2014-06-10|62903
USD||19894|596|2014-06-10|62903
USD||19895|597|2014-06-10|62903
USD||19896|598|2014-06-10|62903
USD||19897|599|2014-06-10|62903
USD||19898|600|2014-06-10|62903
USD||19899|601|2014-06-10|62903
USD||19900|602|2014-06-10|62903
USD||19901|603|2014-06-10|62903
USD||19902|604|2014-06-10|62903
USD||19903|605|2014-06-10|62903
USD||19904|606|2014-06-10|62903
USD||19905|607|2014-06-10|62903
USD||19906|608|2014-06-10|62903
USD||19907|609|2014-06-10|62903
USD||19908|610|2014-06-10|62903
USD||19909|611|2014-06-10|62903
USD||19910|612|2014-06-10|62903
USD||19911|613|2014-06-10|62903
USD||19912|614|2014-06-10|62903
USD||19913|615|2014-06-10|62903
USD||19914|616|2014-06-10|62903
USD||19915|617|2014-06-10|62903
USD||19916|618|2014-06-10|62903
USD||19917|619|2014-06-10|62903
USD||19918|620|2014-06-10|62903
USD||19919|621|2014-06-10|62903
USD||19920|622|2014-06-10|62903
USD||19921|623|2014-06-10|62903
USD||19922|624|2014-06-10|62903
USD||19923|625|2014-06-10|62903
USD||19924|626|2014-06-10|62903
USD||19925|627|2014-06-10|62903
USD||19926|628|2014-06-10|62903
USD||19927|629|2014-06-10|62903
USD||19928|630|2014-06-10|62903
USD||19929|631|2014-06-10|62903
USD||19930|632|2014-06-10|62903
USD||19931|633|2014-06-10|62903
